"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","29","Create exercise","LMS service","Sun May 18 12:22:54 GMT 2025","passed","Sun May 18 12:22:54 GMT 2025","Create entity","Exercises","",""
"","23","Update exercise","LMS service","Sun May 18 12:22:54 GMT 2025","passed","Sun May 18 12:22:54 GMT 2025","Update entity","Exercises","",""
"","29","Create course","LMS service","Sun May 18 12:22:51 GMT 2025","passed","Sun May 18 12:22:51 GMT 2025","Get entities","Courses","",""
"","24","Get exercise","LMS service","Sun May 18 12:22:55 GMT 2025","passed","Sun May 18 12:22:55 GMT 2025","Get entity","Exercises","",""
"","560","Create user","LMS service","Sun May 18 12:22:59 GMT 2025","passed","Sun May 18 12:22:59 GMT 2025","Create entity","Users","",""
"","289","Create user","LMS service","Sun May 18 12:22:58 GMT 2025","passed","Sun May 18 12:22:59 GMT 2025","Create entity","Users","",""
"","19","Create file","LMS service","Sun May 18 12:22:56 GMT 2025","passed","Sun May 18 12:22:56 GMT 2025","Create entity","Files","",""
"","24","Delete exercise","LMS service","Sun May 18 12:22:55 GMT 2025","passed","Sun May 18 12:22:55 GMT 2025","Delete entity","Exercises","",""
"","561","Create user","LMS service","Sun May 18 12:22:59 GMT 2025","passed","Sun May 18 12:22:59 GMT 2025","Create entity","Users","",""
"","264","Create file with empty directory","LMS service","Sun May 18 12:22:58 GMT 2025","passed","Sun May 18 12:22:58 GMT 2025","Validate entity","Files","",""
"","14","Get file","LMS service","Sun May 18 12:22:57 GMT 2025","passed","Sun May 18 12:22:57 GMT 2025","Get entity","Files","",""
"","31","Update course","LMS service","Sun May 18 12:22:52 GMT 2025","passed","Sun May 18 12:22:52 GMT 2025","Update entity","Courses","",""
"","29","Get courses","LMS service","Sun May 18 12:22:52 GMT 2025","passed","Sun May 18 12:22:52 GMT 2025","Create entity","Courses","",""
"","292","Get exercises","LMS service","Sun May 18 12:22:56 GMT 2025","passed","Sun May 18 12:22:56 GMT 2025","Get entities","Exercises","",""
"","554","Login with correct email and password","LMS service","Sun May 18 12:22:51 GMT 2025","passed","Sun May 18 12:22:51 GMT 2025","Login","Authentication","",""
"","17","Create file with empty filename","LMS service","Sun May 18 12:22:57 GMT 2025","passed","Sun May 18 12:22:57 GMT 2025","Validate entity","Files","",""
"","12","Get user me","LMS service","Sun May 18 12:23:00 GMT 2025","passed","Sun May 18 12:23:00 GMT 2025","Get entity","Users","",""
"","294","Delete file","LMS service","Sun May 18 12:22:58 GMT 2025","passed","Sun May 18 12:22:59 GMT 2025","Delete entity","Files","",""
